T1,SP1,Y1,YN1
17385,30,14,2
17401,30,14,2
17418,30,13,3
17434,30,14,2
17452,30,14,2
17468,30,14,2
17484,30,14,2
17501,30,14,2
17518,30,13,3
17534,30,14,2
17551,30,14,2
17567,30,14,2
17585,30,14,2
17601,30,14,2
17617,30,13,3
17634,30,14,2
17651,30,14,2
17668,30,14,2
17684,30,14,2
17700,30,14,2
17718,30,13,3
17734,30,14,2
17751,30,14,2
17767,30,14,2
17784,30,14,2
17801,30,14,2
17817,30,13,3
17833,30,14,2
17851,30,14,2
17867,30,14,2
17884,30,14,2
17900,30,14,2
17917,30,13,3
17934,30,14,2
17950,30,14,2
17967,30,14,2
17984,30,14,2
18000,30,14,2
18017,30,13,3
18033,30,14,2
18051,30,14,2
18067,30,14,2
18083,30,14,2
18100,30,14,2
18117,30,14,2
18134,30,14,2
18150,30,14,2
18166,30,14,2
18184,30,14,2
18200,30,14,2
18216,30,14,2
18233,30,14,2
18250,30,14,2
18267,30,14,2
18283,30,14,2
18299,30,14,2
18317,30,14,2
18333,30,14,2
18350,30,14,2
18366,30,14,2
18383,30,14,2
18400,30,14,2
18416,30,14,2
18433,30,14,2
18450,30,14,2
18466,30,14,2
18483,30,14,2
18499,30,14,2
18516,30,14,2
18533,30,14,2
18549,30,14,2
18566,30,14,2
18583,30,14,2
18599,30,14,2
18616,30,14,2
18632,30,14,2
18650,30,14,2
18666,30,14,2
18682,30,13,3
18699,30,14,2
18716,30,14,2
18733,30,14,2
18749,30,14,2
18765,30,14,2
18783,30,14,2
18799,30,13,3
18816,30,13,3
18832,30,14,2
18849,30,14,2
18866,30,14,2
18882,30,14,2
18898,30,14,2
18916,30,14,2
18932,30,14,2
18949,30,14,2
18965,30,14,2
18982,30,14,2
18999,30,13,3
19015,30,14,2
19032,30,14,2
19049,30,14,2
19065,30,14,2
19082,30,14,2
19098,30,13,3
19116,30,14,2
19132,30,13,3
19148,30,14,2
19165,30,14,2
19182,30,14,2
19198,30,13,3
19215,30,14,2
19231,30,14,2
19249,30,14,2
19265,30,13,3
19281,30,13,3
19298,30,13,3
19315,30,14,2
19332,30,13,3
19348,30,14,2
19364,30,14,2
19382,30,14,2
19398,30,13,3
19415,30,14,2
19431,30,14,2
19448,30,13,3
19465,30,14,2
19481,30,13,3
19497,30,13,3
19515,30,13,3
19531,30,13,3
19548,30,13,3
19564,30,14,2
19581,30,13,3
19598,30,13,3
19614,30,13,3
19631,30,14,2
19648,30,13,3
19664,30,13,3
19681,30,13,3
19697,30,13,3
19715,30,13,3
19731,30,13,3
19747,30,13,3
19764,30,14,2
19781,30,13,3
19798,30,13,3
19814,30,13,3
19830,30,14,2
19848,30,13,3
19864,30,13,3
19880,30,13,3
19897,30,14,2
19914,30,13,3
19931,30,13,3
19947,30,13,3
19963,30,14,2
19981,30,13,3
19997,30,13,3
20014,30,13,3
20030,30,14,2
20047,30,13,3
20064,30,13,3
20080,30,13,3
20097,30,14,2
20114,30,13,3
20130,30,13,3
20147,30,13,3
20163,30,14,2
20180,30,13,3
20197,30,13,3
20213,30,13,3
20230,30,14,2
20247,30,13,3
20263,30,13,3
20280,30,13,3
20296,30,14,2
20314,30,13,3
20330,30,13,3
20346,30,13,3
20363,30,14,2
20380,30,13,3
20397,30,13,3
20413,30,13,3
20429,30,14,2
20447,30,13,3
20463,30,13,3
20480,30,13,3
20496,30,14,2
20513,30,13,3
20530,30,13,3
20546,30,13,3
20562,30,13,3
20580,30,13,3
20596,30,13,3
20613,30,13,3
20629,30,14,2
20646,30,13,3
20663,30,13,3
20679,30,13,3
20696,30,13,3
20713,30,13,3
20729,30,13,3
20746,30,13,3
20762,30,13,3
20780,30,13,3
20796,30,13,3
20812,30,13,3
20829,30,13,3
20846,30,13,3
20862,30,13,3
20879,30,13,3
20895,30,13,3
20913,30,13,3
20929,30,13,3
20945,30,13,3
20962,30,13,3
20979,30,13,3
20996,30,13,3
21012,30,13,3
21028,30,13,3
21046,30,13,3
21062,30,13,3
21079,30,13,3
21095,30,13,3
21112,30,13,3
21129,30,13,3
21145,30,13,3
21161,30,13,3
21179,30,13,3
21195,30,13,3
21212,30,13,3
21228,30,13,3
21245,30,13,3
21262,30,13,3
21278,30,13,3
21295,30,13,3
21312,30,13,3
21328,30,13,3
21345,30,13,3
21361,30,13,3
21379,30,13,3
21395,30,13,3
21411,30,13,3
21428,30,14,2
21445,30,13,3
21462,30,13,3
21478,30,13,3
21494,30,13,3
21512,30,13,3
21528,30,13,3
21544,30,13,3
21561,30,13,3
21578,30,13,3
21595,30,13,3
21611,30,13,3
21627,30,13,3
21645,30,13,3
21661,30,13,3
21678,30,13,3
21694,30,13,3
21711,30,13,3
21728,30,13,3
21744,30,13,3
21761,30,13,3
21778,30,13,3
21794,30,13,3
21811,30,13,3
21827,30,13,3
21844,30,13,3
21861,30,13,3
21877,30,13,3
21894,30,13,3
21911,30,13,3
21927,30,13,3
21944,30,13,3
21960,30,13,3
21978,30,13,3
21994,30,13,3
22010,30,13,3
22027,30,13,3
22044,30,13,3
22061,30,13,3
22077,30,13,3
22093,30,13,3
22111,30,13,3
22127,30,13,3
22144,30,13,3
22160,30,13,3
22177,30,13,3
22194,30,13,3
22210,30,13,3
22226,30,13,3
22244,30,13,3
22260,30,13,3
22277,30,13,3
22293,30,13,3
22310,30,13,3
22327,30,13,3
22343,30,13,3
22360,30,13,3
22377,30,13,3
22393,30,13,3
22410,30,13,3
22426,30,13,3
22444,30,13,3
22460,30,13,3
22476,30,13,3
22493,30,13,3
22510,30,13,3
22526,30,13,3
22543,30,13,3
22559,30,13,3
22577,30,13,3
22593,30,13,3
22609,30,13,3
22626,30,13,3
22643,30,13,3
22660,30,13,3
22676,30,13,3
22692,30,13,3
22710,30,13,3
22726,30,13,3
22743,30,13,3
22759,30,13,3
22776,30,13,3
22793,30,13,3
22809,30,13,3
22825,30,13,3
22843,30,13,3
22859,30,13,3
22876,30,13,3
22892,30,13,3
22909,30,13,3
22926,30,13,3
22942,30,13,3
22959,30,13,3
22976,30,13,3
22992,30,13,3
23009,30,13,3
23025,30,13,3
23043,30,13,3
23059,30,13,3
23075,30,13,3
23092,30,13,3
23109,30,13,3
23126,30,13,3
23142,30,13,3
23158,30,13,3
23176,30,13,3
23192,30,13,3
23208,30,13,3
23225,30,13,3
23242,30,13,3
23259,30,13,3
23275,30,13,3
23291,30,13,3
23309,30,13,3
23325,30,13,3
23342,30,13,3
23358,30,13,3
23375,30,13,3
23392,30,13,3
23408,30,13,3
23425,30,13,3
23442,30,13,3
23458,30,13,3
23475,30,13,3
23491,30,13,3
23508,30,13,3
23525,30,13,3
23541,30,13,3
23558,30,13,3
23575,30,13,3
23591,30,13,3
23608,30,13,3
23624,30,13,3
23642,30,13,3
23658,30,13,3
23674,30,13,3
23691,30,13,3
23708,30,13,3
23725,30,13,3
23741,30,13,3
23757,30,13,3
23775,30,13,3
23791,30,13,3
23808,30,13,3
23824,30,13,3
23841,30,13,3
23858,30,13,3
23874,30,13,3
23890,30,13,3
23908,30,13,3
23924,30,13,3
23941,30,13,3
23957,30,13,3
23974,30,13,3
23991,30,13,3
24007,30,13,3
24024,30,13,3
24041,30,13,3
24057,30,13,3
24074,30,13,3
24090,30,13,3
24108,30,13,3
24124,30,13,3
24140,30,13,3
24157,30,13,3
24174,30,13,3
24190,30,13,3
24207,30,13,3
24223,30,13,3
24241,30,13,3
24257,30,13,3
24273,30,13,3
24290,30,13,3
24307,30,13,3
24324,30,13,3
24340,30,13,3
24356,30,13,3
24374,30,13,3
24390,30,13,3
24407,30,13,3
24423,30,13,3
24440,30,13,3
24457,30,13,3
24473,30,13,3
24489,30,13,3
24507,30,13,3
24523,30,13,3
24540,30,13,3
24556,30,13,3
24573,30,13,3
24590,30,13,3
24606,30,13,3
24623,30,13,3
24640,30,13,3
24656,30,13,3
24673,30,13,3
24689,30,13,3
24707,30,13,3
24723,30,13,3
24739,30,13,3
24756,30,13,3
24773,30,13,3
24790,30,13,3
24806,30,13,3
24822,30,13,3
24840,30,13,3
24856,30,13,3
24872,30,13,3
24889,30,13,3
24906,30,13,3
